                                                       Access privileges
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_10005 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_10006 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_113   | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_27    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_46    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_6001  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_6002  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_6003  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_6004  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_6005  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_6006  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201504_75    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_10001 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_10002 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_10003 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_10004 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_10005 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_10006 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_113   | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_27    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_46    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_6001  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_6002  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_6003  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_6004  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_6005  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_6006  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201505_75    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_10001 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_10002 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_10003 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_10004 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_10005 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_10006 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_113   | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_27    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_46    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_6001  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_6002  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_6003  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_6004  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_6005  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_6006  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201506_75    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_10001 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_10002 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_10003 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_10004 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_10005 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_10006 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_113   | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_27    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_46    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_6001  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_6002  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_6003  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_6004  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_6005  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_6006  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201507_75    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_10001 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_10002 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_10003 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_10004 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_10005 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_10006 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_113   | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_27    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_46    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201508_6001  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
